0,46.24126833
0.5,46.24299215
1,46.24126833
1.5,46.24126833
2,46.24126833
2.5,46.24126833
3,46.24126833
3.5,46.23954456
4,46.23954456
4.5,46.23437354
5,46.23264996
5.5,46.22575612
6,46.22575612
6.5,46.22058623
7,46.21886303
7.5,46.21541677
8,46.21541677
8.5,46.21369372
9,46.21369372
9.5,46.21369372
10,46.21369372
10.5,46.2119707
11,46.2119707
11.5,46.21024774
12,46.20163362
12.5,46.19818831
13,46.19474318
13.5,46.19474318
14,46.19302069
14.5,46.1878535
15,46.1878535
15.5,46.18440893
16,46.18268673
16.5,46.17579836
17,46.17063258
17.5,46.17063258
18,46.16718896
18.5,46.16374553
19,46.16030229
19.5,46.16202388
20,46.15858074
20.5,46.15858074
21,46.15858074
21.5,46.15858074
22,46.15858074
22.5,46.15513778
23,46.15169501
23.5,46.15169501
24,46.1465312
24.5,46.1430889
25,46.13964679
25.5,46.13448397
26,46.13276313
26.5,46.13276313
27,46.13104233
27.5,46.13104233
28,46.13104233
28.5,46.13104233
29,46.13104233
29.5,46.13104233
30,46.13104233
30.5,46.12760087
31,46.12932158
31.5,46.12588022
32,46.12243904
32.5,46.11555726
33,46.11555726
33.5,46.11211665
34,46.10867622
34.5,46.10695608
35,46.10867622
35.5,46.10695608
36,46.10523599
36.5,46.10523599
37,46.10523599
37.5,46.10523599
38,46.10351594
38.5,46.09835608
39,46.10179594
39.5,46.09491641
40,46.08975725
40.5,46.08975725
41,46.08803762
41.5,46.08631804
42,46.08115959
42.5,46.08115959
43,46.0794402
43.5,46.07772085
44,46.08115959
44.5,46.07772085
45,46.07772085
45.5,46.07600155
46,46.07084394
46.5,46.0742823
47,46.06568675
47.5,46.06224885
48,46.05881114
48.5,46.05365493
49,46.05193629
49.5,46.05021769
50,46.04849914
50.5,46.04678064
51,46.03990709
51.5,46.03990709
52,46.02959817
52.5,46.03303429
53,46.02788018
53.5,46.02788018
54,46.02444434
54.5,46.02444434
55,46.02444434
55.5,46.02272649
56,46.02272649
56.5,46.02272649
57,46.01757321
57.5,46.01757321
58,46.01757321
58.5,46.01070284
