0,45.45664475
0.5,45.44983427
1,45.44642931
1.5,45.44642931
2,45.44642931
2.5,45.44642931
3,45.44642931
3.5,45.43451333
4,45.43281122
4.5,45.42089775
5,45.419196
5.5,45.41409103
6,45.40218099
6.5,45.39197413
7,45.37836747
7.5,45.36816435
8,45.36476366
8.5,45.36476366
9,45.36476366
9.5,45.34946278
10,45.34266354
10.5,45.33926419
11,45.33926419
11.5,45.3290672
12,45.32057092
12.5,45.3137747
13,45.308678
13.5,45.29678725
14,45.29169188
14.5,45.28659691
15,45.28489867
15.5,45.28320048
16,45.27640815
16.5,45.26622099
17,45.26282562
17.5,45.2577329
18,45.25943043
18.5,45.2577329
19,45.25264058
19.5,45.24754865
20,45.24076004
20.5,45.23736599
21,45.23397212
21.5,45.23057843
22,45.22888165
22.5,45.21700543
23,45.21191628
23.5,45.20682752
24,45.20343524
24.5,45.20004313
25,45.19325944
25.5,45.18308523
26,45.17799871
26.5,45.16782687
27,45.15596171
27.5,45.1508773
28,45.1508773
28.5,45.14070967
29,45.1305436
29.5,45.12546116
30,45.1237671
30.5,45.1237671
31,45.1237671
31.5,45.12037912
32,45.10513533
32.5,45.10005486
33,45.08989509
33.5,45.08481579
34,45.07635117
34.5,45.07296562
35,45.06958025
35.5,45.06619505
36,45.06281003
36.5,45.05265601
37,45.04419552
37.5,45.04250355
38,45.03911975
38.5,45.03235266
39,45.0272778
39.5,45.01882057
40,45.01543798
40.5,45.01543798
41,45.01543798
41.5,45.01036442
42,45.00021848
42.5,44.99514609
43,44.99345538
43.5,44.99007409
44,44.98331203
44.5,44.97486043
45,44.96640991
45.5,44.95965027
46,44.94951211
46.5,44.94106483
47,44.93768622
47.5,44.93599698
48,44.93599698
48.5,44.93430779
49,44.92755143
49.5,44.92417351
50,44.91066355
50.5,44.908975
51,44.908975
51.5,44.90559803
52,44.89377998
52.5,44.8853398
53,44.88196403
53.5,44.87352536
54,44.85833846
54.5,44.85665124
55,44.85496406
55.5,44.84315503
56,44.8397814
56.5,44.83134809
57,44.82966156
57.5,44.82291585
58,44.81111251
58.5,44.80605457
59,44.80268283
59.5,44.80268283
60,44.80268283
60.5,44.79425422
61,44.78919757
61.5,44.78245596
62,44.77571503
62.5,44.77571503
63,44.77234483
63.5,44.76728984
64,44.76055044
64.5,44.75549635
65,44.75212716
65.5,44.7453893
66,44.73865212
66.5,44.73023161
67,44.72517981
67.5,44.72181215
68,44.72181215
68.5,44.71339376
69,44.70497643
69.5,44.69656015
70,44.69487703
70.5,44.69487703
71,44.69487703
71.5,44.6898279
72,44.68477915
72.5,44.67300022
73,44.66627034
73.5,44.65617678
74,44.63431262
74.5,44.61918007
75,44.60237013
75.5,44.58892521
76,44.58892521
76.5,44.58892521
77,44.58892521
77.5,44.5855644
78,44.57884328
78.5,44.57044283
79,44.56204343
79.5,44.56204343
80,44.55700429
80.5,44.54860657
81,44.53685152
81.5,44.53181427
82,44.51838345
82.5,44.50999054
83,44.50831209
83.5,44.50831209
84,44.50831209
84.5,44.50327697
85,44.49992044
85.5,44.48817388
86,44.4848181
86.5,44.48314027
87,44.48314027
87.5,44.47978473
88,44.47307417
88.5,44.4646869
89,44.46300957
89.5,44.45462355
90,44.44791548
90.5,44.44120808
91,44.43450135
91.5,44.43114823
92,44.42947173
92.5,44.42611886
93,44.41941362
93.5,44.41270905
94,44.40432927
94.5,44.40432927
95,44.40265343
95.5,44.40265343
96,44.39762619
96.5,44.38924827
97,44.38254668
97.5,44.37752092
98,44.37584575
98.5,44.37584575
99,44.36747053
99.5,44.35909634
100,44.35407232
100.5,44.35072318
101,44.34737421
101.5,44.34067675
102,44.33732827
102.5,44.3289578
103,44.32393601
103.5,44.32226217
104,44.31221995
104.5,44.30385257
105,44.3005059
105.5,44.2971594
106,44.2971594
106.5,44.28544795
107,44.27708386
107.5,44.2720659
108,44.27039333
108.5,44.27039333
109,44.27039333
109.5,44.27039333
110,44.2687208
110.5,44.26035876
111,44.25199776
111.5,44.24865364
112,44.24363777
112.5,44.23862227
113,44.22692088
113.5,44.22357799
114,44.21856397
114.5,44.21689271
115,44.21522149
115.5,44.21020808
116,44.20352411
116.5,44.19851156
117,44.19182873
117.5,44.19182873
118,44.19182873
118.5,44.19015812
119,44.18514655
119.5,44.17846503
120,44.17345431
120.5,44.16844397
121,44.16510394
121.5,44.16176407
122,44.1600942
122.5,44.15341513
123,44.1467367
123.5,44.14005893
124,44.14005893
124.5,44.13505102
125,44.12670533
125.5,44.1216984
126,44.11335434
126.5,44.10834839
127,44.10000594
127.5,44.09333272
128,44.08832823
128.5,44.0849921
129,44.0849921
129.5,44.0849921
130,44.0833241
130.5,44.07832034
131,44.07164922
131.5,44.06331123
132,44.05997632
132.5,44.05830893
133,44.05664157
133.5,44.05330699
134,44.04497123
134.5,44.0416372
135,44.03163611
135.5,44.0299694
136,44.01997
136.5,44.00997205
137,44.00663972
137.5,44.00497362
138,44.00497362
138.5,43.99997555
139,43.99164624
139.5,43.98498352
140,43.98331794
140.5,43.98331794
141,43.97832144
141.5,43.97665602
142,43.96832953
142.5,43.96000404
143,43.95667413
143.5,43.95500923
144,43.95334437
144.5,43.95334437
145,43.95334437
145.5,43.95334437
146,43.94668535
146.5,43.94335608
147,43.93170489
147.5,43.93170489
148,43.92671212
148.5,43.92671212
149,43.92338381
149.5,43.91839164
150,43.91007217
150.5,43.90341731
151,43.89842658
151.5,43.89177284
152,43.88678295
152.5,43.87680426
153,43.87680426
153.5,43.87347834
154,43.87181545
154.5,43.866827
155,43.86350156
